internship_id,Date,Time,profile,company,Location,Min Stipend,Max Stipend,Duration,Apply by Date,Education,Skills,Perks,Number of Skills,Number of Perks
2025WSHP1252,9/28/2025,9:58:36,Tech,Hunarsource Consulting Private Limited,Pune,7000,8000,13,11 October 2025,Unknown,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, MS-PowerPoint","Certificate, Letter Of Recommendation",6,2
2025WSHP1253,9/27/2025,23:06:55,Sales,Innovsource,Mumbai,6000,7000,13,1 October 2025,Engineering,"Computer skills, Coordination",Certificate,2,1
2025WSHP1254,9/27/2025,20:21:57,Creative,Passion Pixies,Indore,7000,15000,26,22 October 2025,Unknown,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Canva","Certificate, Flexible, Letter Of Recommendation",4,3
2025WSHP1255,9/27/2025,23:19:31,Creative,Bizknowmics,Chennai,9000,22000,13,18 October 2025,Unknown,"English Proficiency (Spoken), Sales, Storytelling","Certificate, Letter Of Recommendation",3,2
2025WSHP1256,9/21/2025,16:00:54,Creative,Eliike Trade Shop Private Limited (Fashna),Work from home,0,2500,4,Unknown,Graduate,"Final Cut Pro, Social Media Marketing, Video Editing",Flexible,3,1
2025WSHP1257,9/21/2025,15:28:14,Sales,Dinesh Gahlot,Work from home,15000,15001,26,10 October 2025,Unknown,"Asana, Client Relationship Management (CRM), Collaboration, Coordination, English Proficiency (Spoken), English Proficiency (Written), Jira, Leadership","Certificate, Flexible, Letter Of Recommendation",8,3
2025WSHP1258,9/27/2025,22:53:30,Creative,Besick,Mumbai,10000,15000,26,11 October 2025,Unknown,"Adobe Illustrator, Adobe Photoshop, Canva, Capcut, English Proficiency (Spoken), English Proficiency (Written), Video Editing","Certificate, Flexible, Letter Of Recommendation",7,3
2025WSHP1259,9/21/2025,15:05:50,Others,The Tiles House,Work from home,3500,4000,4,17 October 2025,Unknown,"Autodesk Revit, Blender 3D, Google SketchUp","Certificate, Flexible",3,2
2025WSHP1260,9/21/2025,15:09:54,Others,AIR-M Private Limited,Work from home,0,2000,13,16 October 2025,Professional,"Marketing, Teaching","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",2,4
2025WSHP1261,9/27/2025,21:52:38,Tech,Access Realty Solutions Private Limited,Delhi,8000,18000,22,4 October 2025,Unknown,Effective Communication,"Certificate, Letter Of Recommendation, 5 Days A Week",1,3
2025WSHP1262,9/21/2025,16:09:44,Tech,Verbose TechLabs LLP,Work from home,5000,30000,9,3 October 2025,Unknown,"Angular, CSS, HTML, JavaScript, Node.js, TypeScript","Certificate, Flexible, Letter Of Recommendation",6,3
